date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Other
02/01/18 01:30,3.28,3.53,0,1
02/01/18 01:45,3.46,3.96,0,1
02/01/18 02:00,3.78,4.82,0,1
02/01/18 02:15,3.31,3.53,0,1
02/01/18 02:30,3.6,4.36,0,1
02/01/18 02:45,3.64,4.39,0,1
02/01/18 03:00,3.28,3.71,0,1
02/01/18 03:15,3.71,4.57,0,1
02/01/18 03:30,3.56,4.03,0,1
02/01/18 03:45,3.24,3.49,0,1
02/01/18 04:00,3.89,4.64,0,1
02/01/18 04:15,3.28,3.42,0,1
02/01/18 04:30,3.28,3.49,0,1
02/01/18 04:45,3.96,4.68,0,1
02/01/18 05:00,3.24,3.42,0,1
02/01/18 05:15,3.46,3.78,0,1
02/01/18 05:30,3.67,4.07,0,1
02/01/18 05:45,3.24,3.42,0,1
02/01/18 06:00,3.67,3.96,0,1
02/01/18 06:15,3.53,3.78,0,1
02/01/18 06:30,3.2,3.24,0,1
02/01/18 06:45,3.78,4.07,0,1
02/01/18 07:00,3.35,3.35,0,1
02/01/18 07:15,3.53,3.49,0,1
02/01/18 07:30,6.3,4.57,0,1
02/01/18 07:45,6.05,4.79,0,1
02/01/18 08:00,6.73,4.54,0,1
02/01/18 08:15,29.02,18.83,0.07,1
02/01/18 08:30,46.19,28.66,0,1
02/01/18 08:45,52.06,35.32,0,1
02/01/18 09:00,56.2,12.53,0.11,1
02/01/18 09:15,56.84,8.32,0,1
02/01/18 09:30,51.26,4.54,0.94,1
02/01/18 09:45,48.13,2.34,1.15,1
02/01/18 10:00,52.81,7.06,0.54,1
02/01/18 10:15,54.79,7.52,0.14,1
02/01/18 10:30,53.21,8.35,0.11,1
02/01/18 10:45,80.21,32.4,0,1
02/01/18 11:00,77.58,25.49,0,1
02/01/18 11:15,128.52,70.85,0,1
02/01/18 11:30,144.47,78.48,0,1
02/01/18 11:45,90.86,54.29,0,1
02/01/18 12:00,123.3,66.06,0,1
02/01/18 12:15,19.22,5.54,18.9,1
02/01/18 12:30,8.46,0,25.92,1
02/01/18 12:45,8.24,0,25.34,1
02/01/18 13:00,8.03,0,25.49,1
02/01/18 13:15,79.67,27.29,6.52,1
02/01/18 13:30,97.85,46.8,0,1
02/01/18 13:45,124.45,49.79,0,1
02/01/18 14:00,108.61,43.34,0,1
02/01/18 14:15,123.12,55.26,0,1
02/01/18 14:30,129.1,53.5,0,1
02/01/18 14:45,82.08,27.58,0,1
02/01/18 15:00,143.89,60.91,0,1
02/01/18 15:15,86.9,34.27,0,1
02/01/18 15:30,141.44,62.57,0,1
02/01/18 15:45,116.53,52.88,0,1
02/01/18 16:00,129.31,61.16,0,1
02/01/18 16:15,136.44,56.77,0,1
02/01/18 16:30,85.72,34.85,0,1
02/01/18 16:45,147.46,65.27,0,1
02/01/18 17:00,86.94,30.78,0,1
02/01/18 17:15,67.25,25.81,0,1
02/01/18 17:30,115.78,50.04,0,1
02/01/18 17:45,113.11,34.63,0,1
02/01/18 18:00,76.75,11.74,1.04,1
02/01/18 18:15,41.9,15.23,0.14,1
02/01/18 18:30,37.4,19.94,0,1
02/01/18 18:45,40.25,8.82,0.5,1
02/01/18 19:00,34.92,1.98,1.58,1
02/01/18 19:15,41.36,6.44,0.43,1
02/01/18 19:30,35.96,2.52,1.37,1
02/01/18 19:45,39.42,5.29,0.47,1
02/01/18 20:00,38.16,4.68,0.5,1
02/01/18 20:15,33.23,1.51,3.96,1
02/01/18 20:30,25.88,0,12.13,1
02/01/18 20:45,10.84,0,23.22,1
02/01/18 21:00,9.29,0,23.51,1
02/01/18 21:15,6.98,0,25.16,1
02/01/18 21:30,5.11,0,26.5,1
02/01/18 21:45,5.08,0,26.42,1
02/01/18 22:00,5.04,0,26.46,1
02/01/18 22:15,4.93,1.84,15.44,1
02/01/18 22:30,4.64,5.22,0,1
02/01/18 22:45,4.68,5.18,0,1
02/01/18 23:00,4.68,5.11,0,1
02/01/18 23:15,4.57,4.54,0,1
02/01/18 23:30,4.57,4.25,0,1
02/01/18 23:45,4.54,4.25,0,1
02/01/18 00:00,4.61,4.21,0,1
03/01/18 00:15,4.61,4.61,0,1
03/01/18 00:30,4.61,4.54,0,1
03/01/18 00:45,4.57,4.5,0,1
03/01/18 01:00,4.57,4.61,0,1
03/01/18 01:15,4.64,4.46,0,1
03/01/18 01:30,4.64,4.57,0,1
03/01/18 01:45,4.61,4.79,0,1
03/01/18 02:00,4.57,4.5,0,1
03/01/18 02:15,4.61,4.39,0,1
03/01/18 02:30,4.64,4.75,0,1
03/01/18 02:45,4.64,4.75,0,1
03/01/18 03:00,4.57,4.75,0,1
03/01/18 03:15,4.64,5.11,0,1
03/01/18 03:30,4.64,4.72,0,1
03/01/18 03:45,4.68,4.68,0,1
03/01/18 04:00,4.57,4.46,0,1
03/01/18 04:15,4.54,4.32,0,1
03/01/18 04:30,4.61,4.46,0,1
03/01/18 04:45,4.57,4.32,0,1
03/01/18 05:00,4.61,4.32,0,1
03/01/18 05:15,4.54,4.14,0,1
03/01/18 05:30,4.57,4.21,0,1
03/01/18 05:45,4.57,4.43,0,1
03/01/18 06:00,4.57,4.5,0,1
03/01/18 06:15,4.64,4.61,0,1
03/01/18 06:30,4.57,4.36,0,1
03/01/18 06:45,4.61,4.54,0,1
03/01/18 07:00,4.54,4.28,0,1
03/01/18 07:15,4.46,4.18,0,1
03/01/18 07:30,6.12,4.25,0,1
03/01/18 07:45,7.92,4.68,0,1
03/01/18 08:00,9.58,4.36,0,1
03/01/18 08:15,37.01,21.56,0,1
03/01/18 08:30,74.59,35.86,0,1
03/01/18 08:45,109.48,53.32,0,1
03/01/18 09:00,105.08,31.82,0,1
03/01/18 09:15,121.79,41.26,0,1
03/01/18 09:30,114.48,30.24,0,1
03/01/18 09:45,74.2,21.96,0,1
03/01/18 10:00,54.32,7.13,0.04,1
03/01/18 10:15,75.17,25.06,0,1
03/01/18 10:30,58.07,12.24,0,1
03/01/18 10:45,67.03,15.08,0,1
03/01/18 11:00,74.59,31.64,0.04,1
03/01/18 11:15,57.56,23.9,0,1
03/01/18 11:30,78.62,48.06,0,1
03/01/18 11:45,69.16,44.17,0,1
03/01/18 12:00,74.05,44.78,0,1
03/01/18 12:15,11.27,0.5,20.45,1
03/01/18 12:30,8.21,0,26.21,1
03/01/18 12:45,8.14,0,25.56,1
03/01/18 13:00,7.7,0,25.74,1
03/01/18 13:15,51.26,21.38,6.08,1
03/01/18 13:30,52.7,13.64,0,1
03/01/18 13:45,55.84,17.24,0,1
03/01/18 14:00,57.2,17.32,0,1
03/01/18 14:15,76.57,30.6,0,1
03/01/18 14:30,61.13,20.45,0,1
03/01/18 14:45,66.74,26.42,0,1
03/01/18 15:00,55.8,16.42,0,1
03/01/18 15:15,57.46,18.25,0,1
03/01/18 15:30,71.28,28.08,0,1
03/01/18 15:45,73.15,28.62,0,1
03/01/18 16:00,68.98,25.81,0,1
03/01/18 16:15,85,27.79,0,1
03/01/18 16:30,116.53,41.9,0,1
03/01/18 16:45,118.62,39.06,0,1
03/01/18 17:00,105.05,35.64,0,1
03/01/18 17:15,140.51,52.96,0,1
03/01/18 17:30,114.01,41.15,0,1
03/01/18 17:45,125.96,39.2,0,1
03/01/18 18:00,73.62,13.25,1.69,1
03/01/18 18:15,36.22,12.74,0.54,1
03/01/18 18:30,39.82,18.43,0,1
03/01/18 18:45,37.08,4.18,1.94,1
03/01/18 19:00,42.98,5.47,0.18,1
03/01/18 19:15,37.94,0.86,1.58,1
03/01/18 19:30,39.71,3.74,0.79,1
03/01/18 19:45,43.2,5.69,0.18,1
03/01/18 20:00,37.33,1.19,1.66,1
03/01/18 20:15,41,5.62,0.54,1
03/01/18 20:30,37.3,2.88,1.22,1
03/01/18 20:45,32.72,2.02,6.98,1
03/01/18 21:00,9.83,0,23.83,1
03/01/18 21:15,7.96,0,24.8,1
03/01/18 21:30,5.44,0,26.82,1
03/01/18 21:45,5.11,0,26.78,1
03/01/18 22:00,5.18,0,26.78,1
03/01/18 22:15,4.97,1.91,15.16,1
03/01/18 22:30,4.75,5.26,0,1
03/01/18 22:45,4.64,5.15,0,1
03/01/18 23:00,4.64,4.97,0,1
03/01/18 23:15,4.72,4.39,0,1
03/01/18 23:30,4.61,4.25,0,1
03/01/18 23:45,4.57,4.43,0,1
03/01/18 00:00,4.57,4.5,0,1
04/01/18 00:15,4.61,4.57,0,1
04/01/18 00:30,4.64,4.57,0,1
04/01/18 00:45,4.64,4.68,0,1
04/01/18 01:00,4.61,4.79,0,1
04/01/18 01:15,4.61,4.64,0,1
04/01/18 01:30,4.61,4.93,0,1
04/01/18 01:45,4.68,4.64,0,1
04/01/18 02:00,4.64,4.79,0,1
04/01/18 02:15,4.61,4.75,0,1
04/01/18 02:30,4.64,4.9,0,1
04/01/18 02:45,4.61,4.9,0,1
04/01/18 03:00,4.68,4.93,0,1
04/01/18 03:15,4.68,5,0,1
04/01/18 03:30,4.61,4.86,0,1
04/01/18 03:45,4.61,4.86,0,1
04/01/18 04:00,4.68,5.15,0,1
04/01/18 04:15,4.61,4.72,0,1
04/01/18 04:30,4.64,4.72,0,1
04/01/18 04:45,4.64,4.54,0,1
04/01/18 05:00,4.61,4.64,0,1
04/01/18 05:15,4.61,4.5,0,1
04/01/18 05:30,4.64,4.5,0,1
04/01/18 05:45,4.61,4.39,0,1
04/01/18 06:00,4.61,4.54,0,1
04/01/18 06:15,4.61,4.64,0,1
04/01/18 06:30,4.64,4.82,0,1
04/01/18 06:45,4.57,4.68,0,1
04/01/18 07:00,4.64,4.57,0,1
04/01/18 07:15,4.54,4.61,0,1
04/01/18 07:30,5.36,4.79,0,1
04/01/18 07:45,7.06,4.9,0,1
04/01/18 08:00,7.81,4.68,0,1
04/01/18 08:15,83.23,51.73,0,1
04/01/18 08:30,136.19,74.88,0,1
04/01/18 08:45,108.29,75.82,0,1
04/01/18 09:00,131.18,53.6,0,1
04/01/18 09:15,136.04,56.7,0,1
04/01/18 09:30,128.02,46.22,0,1
04/01/18 09:45,132.84,53.53,0,1
04/01/18 10:00,111.49,39.17,0,1
04/01/18 10:15,124.78,38.95,0,1
04/01/18 10:30,96.66,30.89,0,1
04/01/18 10:45,128.81,41.04,0,1
04/01/18 11:00,78.37,28.94,0,1
04/01/18 11:15,104.8,59.04,0,1
04/01/18 11:30,131.83,61.2,0,1
04/01/18 11:45,113.11,60.19,0,1
04/01/18 12:00,128.05,60.55,0,1
04/01/18 12:15,14.15,3.78,18.79,1
04/01/18 12:30,7.85,0,26.39,1
04/01/18 12:45,7.02,0,26.89,1
04/01/18 13:00,7.63,0.07,26.46,1
04/01/18 13:15,78.37,21.24,1.19,1
04/01/18 13:30,135.43,51.95,0,1
04/01/18 13:45,105.12,33.66,0,1
04/01/18 14:00,120.6,41.4,0,1
04/01/18 14:15,117.97,41.72,0,1
04/01/18 14:30,121.93,43.56,0,1
04/01/18 14:45,121.07,44.35,0,1
04/01/18 15:00,115.42,38.45,0,1
04/01/18 15:15,115.49,41.15,0,1
04/01/18 15:30,101.92,39.06,0,1
04/01/18 15:45,138.06,51.8,0,1
04/01/18 16:00,118.94,49.97,0,1
04/01/18 16:15,144.29,54.94,0,1
04/01/18 16:30,88.27,28.73,0,1
04/01/18 16:45,119.99,38.99,0,1
04/01/18 17:00,97.63,37.26,0,1
04/01/18 17:15,130.61,43.88,0,1
04/01/18 17:30,122.04,51.44,0,1
04/01/18 17:45,43.06,1.94,3.46,1
04/01/18 18:00,65.38,7.09,2.12,1
04/01/18 18:15,39.71,16.24,0.54,1
04/01/18 18:30,51.59,33.34,0,1
04/01/18 18:45,46.4,15.26,0,1
04/01/18 19:00,67.18,28.55,0,1
04/01/18 19:15,53.39,18,0,1
04/01/18 19:30,52.74,16.31,0,1
04/01/18 19:45,69.84,38.88,0,1
04/01/18 20:00,51.16,17.93,0,1
04/01/18 20:15,64.58,28.58,0,1
04/01/18 20:30,69.3,39.92,0,1
04/01/18 20:45,46.62,11.99,0.04,1
04/01/18 21:00,36.22,3.1,2.77,1
04/01/18 21:15,8.28,0,24.08,1
04/01/18 21:30,6.08,0,25.56,1
04/01/18 21:45,5.26,0,25.78,1
04/01/18 22:00,5.15,0,25.85,1
04/01/18 22:15,5.04,2.16,14.65,1
04/01/18 22:30,4.82,6.37,0,1
04/01/18 22:45,4.75,6.34,0,1
04/01/18 23:00,4.79,6.01,0,1
04/01/18 23:15,4.64,5.18,0,1
04/01/18 23:30,4.64,4.79,0,1
04/01/18 23:45,4.61,5.04,0,1
04/01/18 00:00,4.64,5.04,0,1
05/01/18 00:15,4.72,5.15,0,1
05/01/18 00:30,4.68,5.22,0,1
05/01/18 00:45,4.68,5.54,0,1
05/01/18 01:00,4.72,5.58,0,1
05/01/18 01:15,4.68,5.36,0,1
05/01/18 01:30,4.68,5.33,0,1
05/01/18 01:45,4.61,4.86,0,1
05/01/18 02:00,4.61,4.68,0,1
05/01/18 02:15,4.64,5,0,1
05/01/18 02:30,4.64,4.97,0,1
05/01/18 02:45,4.68,5.22,0,1
05/01/18 03:00,4.64,5.04,0,1
05/01/18 03:15,4.61,5.08,0,1
05/01/18 03:30,4.68,5.04,0,1
05/01/18 03:45,4.61,5,0,1
05/01/18 04:00,4.72,5,0,1
05/01/18 04:15,4.61,4.68,0,1
05/01/18 04:30,4.61,4.72,0,1
05/01/18 04:45,4.61,4.86,0,1
05/01/18 05:00,4.61,4.82,0,1
05/01/18 05:15,4.68,4.97,0,1
05/01/18 05:30,4.64,4.93,0,1
05/01/18 05:45,4.57,4.79,0,1
05/01/18 06:00,4.64,4.93,0,1
05/01/18 06:15,4.61,4.79,0,1
05/01/18 06:30,4.64,4.82,0,1
05/01/18 06:45,4.61,4.72,0,1
05/01/18 07:00,4.61,4.9,0,1
05/01/18 07:15,4.57,5.08,0,1
05/01/18 07:30,5.33,4.97,0,1
05/01/18 07:45,6.98,5.18,0,1
05/01/18 08:00,7.02,4.97,0,1
05/01/18 08:15,72.14,45.22,0,1
05/01/18 08:30,117.61,66.56,0,1
05/01/18 08:45,98.71,62.35,0,1
05/01/18 09:00,136.48,59.44,0,1
05/01/18 09:15,120.71,36.47,0,1
05/01/18 09:30,94.82,32.76,0,1
05/01/18 09:45,114.7,39.02,0,1
05/01/18 10:00,132.16,45.47,0,1
05/01/18 10:15,77.08,26.35,0,1
05/01/18 10:30,128.56,45.4,0,1
05/01/18 10:45,132.48,46.04,0,1
05/01/18 11:00,114.3,43.81,0,1
05/01/18 11:15,129.85,63.86,0,1
05/01/18 11:30,120.28,65.99,0,1
05/01/18 11:45,130.03,63.79,0,1
05/01/18 12:00,97.88,42.19,0,1
05/01/18 12:15,8.86,0.72,20.2,1
05/01/18 12:30,7.92,0,26.32,1
05/01/18 12:45,8.32,0,25.74,1
05/01/18 13:00,8.21,0,25.81,1
05/01/18 13:15,50.08,10.12,7.6,1
05/01/18 13:30,124.63,41.83,0,1
05/01/18 13:45,114.05,36.43,0,1
05/01/18 14:00,69.73,19.37,0,1
05/01/18 14:15,72.58,29.77,0,1
05/01/18 14:30,87.05,36.65,0,1
05/01/18 14:45,132.23,59.04,0,1
05/01/18 15:00,81.72,28.76,0,1
05/01/18 15:15,96.84,36.9,0,1
05/01/18 15:30,129.85,56.52,0,1
05/01/18 15:45,92.95,38.09,0,1
05/01/18 16:00,146.34,66.92,0,1
05/01/18 16:15,98.5,39.02,0,1
05/01/18 16:30,129.67,60.62,0,1
05/01/18 16:45,121.07,44.93,0,1
05/01/18 17:00,69.8,27.79,0,1
05/01/18 17:15,145.69,66.35,0,1
05/01/18 17:30,117.68,51.98,0,1
05/01/18 17:45,41.54,1.8,6.98,1
05/01/18 18:00,75.06,13.5,3.56,1
05/01/18 18:15,43.38,18.9,0.61,1
05/01/18 18:30,68.54,45.68,0,1
05/01/18 18:45,59.8,24.62,0,1
05/01/18 19:00,65.05,27.65,0,1
05/01/18 19:15,67,27.72,0,1
05/01/18 19:30,57.28,20.92,0,1
05/01/18 19:45,55.62,19.66,0,1
05/01/18 20:00,51.77,16.34,0,1
05/01/18 20:15,44.17,4.18,0.04,1
05/01/18 20:30,55.15,11.52,0.07,1
05/01/18 20:45,38.05,1.4,4.43,1
05/01/18 21:00,19.51,0,17.64,1
05/01/18 21:15,9.32,0,24.05,1
05/01/18 21:30,4.61,0,26.68,1
05/01/18 21:45,4.54,0,26.64,1
05/01/18 22:00,4.54,0,26.6,1
05/01/18 22:15,4.28,1.44,15.19,1
05/01/18 22:30,4.1,4.32,0,1
05/01/18 22:45,4.14,4.21,0,1
05/01/18 23:00,4.07,4.07,0,1
05/01/18 23:15,4.03,3.2,0,1
05/01/18 23:30,4.07,3.85,0,1
05/01/18 23:45,4.14,4.39,0,1
05/01/18 00:00,4.14,4.5,0,1
06/01/18 00:15,4.14,4.5,0,1
06/01/18 00:30,4.14,4.82,0,1
06/01/18 00:45,4.1,4.68,0,1
06/01/18 01:00,4.14,4.93,0,1
06/01/18 01:15,4.14,4.64,0,1
06/01/18 01:30,4.18,4.57,0,1
06/01/18 01:45,4.14,5,0,1
06/01/18 02:00,4.18,5.36,0,1
06/01/18 02:15,4.18,5.47,0,1
06/01/18 02:30,4.18,5.4,0,1
06/01/18 02:45,4.28,5.58,0,1
06/01/18 03:00,4.21,5.62,0,1
06/01/18 03:15,4.14,5.54,0,1
06/01/18 03:30,4.18,5.54,0,1
06/01/18 03:45,4.18,5.72,0,1
06/01/18 04:00,4.28,5.76,0,1
06/01/18 04:15,4.21,5.8,0,1
06/01/18 04:30,4.18,5.58,0,1
06/01/18 04:45,4.21,5.83,0,1
06/01/18 05:00,4.18,5.83,0,1
06/01/18 05:15,4.25,5.51,0,1
06/01/18 05:30,4.18,5.29,0,1
06/01/18 05:45,4.14,5.26,0,1
06/01/18 06:00,4.14,5.4,0,1
06/01/18 06:15,4.14,5.47,0,1
06/01/18 06:30,4.21,5.29,0,1
06/01/18 06:45,4.21,5.4,0,1
06/01/18 07:00,4.14,5.51,0,1
06/01/18 07:15,4.07,5.22,0,1
06/01/18 07:30,4.1,5.29,0,1
06/01/18 07:45,4.1,5.26,0,1
06/01/18 08:00,4.18,5.29,0,1
06/01/18 08:15,4.07,5.11,0,1
06/01/18 08:30,4.07,5.11,0,1
06/01/18 08:45,4.07,5.08,0.14,1
06/01/18 09:00,4.36,0,20.7,1
06/01/18 09:15,4.54,0,26.5,1
06/01/18 09:30,4.43,0,26.39,1
06/01/18 09:45,4,0,20.99,1
06/01/18 10:00,4.25,0,23.33,1
06/01/18 10:15,4.28,0,23.33,1
06/01/18 10:30,3.82,0,19.73,1
06/01/18 10:45,4.32,0,26.89,1
06/01/18 11:00,3.46,0,17.93,1
06/01/18 11:15,4,0,9.9,1
06/01/18 11:30,3.49,0,7.06,1
06/01/18 11:45,3.71,0,7.63,1
06/01/18 12:00,3.89,0,7.42,1
06/01/18 12:15,3.53,0,14.08,1
06/01/18 12:30,4.25,0,24.91,1
06/01/18 12:45,3.56,0,17.39,1
06/01/18 13:00,4.03,0,22.54,1
06/01/18 13:15,3.64,0,19.69,1
06/01/18 13:30,3.53,0,18.14,1
06/01/18 13:45,4.03,0,25.16,1
06/01/18 14:00,3.38,0,17.75,1
06/01/18 14:15,3.74,0,20.92,1
06/01/18 14:30,3.82,0,21.67,1
06/01/18 14:45,3.46,0,17.5,1
06/01/18 15:00,4,0,23,1
06/01/18 15:15,3.64,0,18.9,1
06/01/18 15:30,3.42,0,17.42,1
06/01/18 15:45,4.18,0,24.3,1
06/01/18 16:00,3.53,0,18.43,1
06/01/18 16:15,3.38,0,17.6,1
06/01/18 16:30,4.03,0,24.73,1
06/01/18 16:45,3.42,0,18.18,1
06/01/18 17:00,3.42,0,17.71,1
06/01/18 17:15,4.1,0,24.91,1
06/01/18 17:30,3.38,0,18,1
06/01/18 17:45,3.38,0,17.82,1
06/01/18 18:00,4.03,0,24.62,1
06/01/18 18:15,3.46,0,7.96,1
06/01/18 18:30,3.24,0,6.23,1
06/01/18 18:45,3.85,0,20.88,1
06/01/18 19:00,3.53,0,18.94,1
06/01/18 19:15,3.42,0,17.86,1
06/01/18 19:30,4.03,0,24.19,1
06/01/18 19:45,3.49,0,18.65,1
06/01/18 20:00,3.42,0,17.82,1
06/01/18 20:15,4.07,0,24.16,1
06/01/18 20:30,3.56,0,18.79,1
06/01/18 20:45,3.53,0,17.68,1
06/01/18 21:00,4.1,0,24.16,1
06/01/18 21:15,3.6,0,18.97,1
06/01/18 21:30,3.49,0,17.6,1
06/01/18 21:45,4.1,0,24.41,1
06/01/18 22:00,3.56,0,18.18,1
06/01/18 22:15,3.31,1.15,10.01,1
06/01/18 22:30,3.82,4.25,0,1
06/01/18 22:45,3.24,3.35,0,1
06/01/18 23:00,3.24,3.2,0,1
06/01/18 23:15,3.82,3.46,0,1
06/01/18 23:30,3.1,2.56,0,1
06/01/18 23:45,3.31,2.92,0,1
06/01/18 00:00,3.6,3.28,0,1
07/01/18 00:15,3.13,2.74,0,1
07/01/18 00:30,3.49,3.17,0,1
07/01/18 00:45,3.64,3.6,0,1
07/01/18 01:00,3.2,3.02,0,1
07/01/18 01:15,3.56,3.6,0,1
07/01/18 01:30,3.49,3.6,0,1
07/01/18 01:45,3.31,3.2,0,1
07/01/18 02:00,3.74,4.28,0,1
07/01/18 02:15,3.38,3.38,0,1
07/01/18 02:30,3.17,3.02,0,1
07/01/18 02:45,3.89,4.32,0,1
07/01/18 03:00,3.35,3.17,0,1
07/01/18 03:15,3.28,3.28,0,1
07/01/18 03:30,3.82,4.14,0,1
07/01/18 03:45,3.24,3.2,0,1
07/01/18 04:00,3.42,3.6,0,1
07/01/18 04:15,3.71,3.92,0,1
07/01/18 04:30,3.24,3.31,0,1
07/01/18 04:45,3.67,4.18,0,1
07/01/18 05:00,3.38,3.6,0,1
07/01/18 05:15,3.24,3.28,0,1
07/01/18 05:30,3.96,4.36,0,1
07/01/18 05:45,3.24,3.31,0,1
07/01/18 06:00,3.31,3.64,0,1
07/01/18 06:15,3.82,4.39,0,1
07/01/18 06:30,3.24,3.28,0,1
07/01/18 06:45,3.53,3.71,0,1
07/01/18 07:00,3.64,4.1,0,1
07/01/18 07:15,3.2,3.64,0,1
07/01/18 07:30,3.67,4.54,0,1
07/01/18 07:45,3.46,4.21,0,1
07/01/18 08:00,3.28,3.82,0,1
07/01/18 08:15,3.82,4.86,0,1
07/01/18 08:30,3.35,4.03,0,1
07/01/18 08:45,3.28,3.85,0.18,1
07/01/18 09:00,4.14,0,19.3,1
07/01/18 09:15,3.56,0,17.21,1
07/01/18 09:30,3.71,0,18.04,1
07/01/18 09:45,4.1,0,22.93,1
07/01/18 10:00,3.56,0,17.21,1
07/01/18 10:15,3.82,0,19.91,1
07/01/18 10:30,3.96,0,21.35,1
07/01/18 10:45,3.56,0,17.28,1
07/01/18 11:00,3.92,0,21.35,1
07/01/18 11:15,3.64,0,7.24,1
07/01/18 11:30,3.42,0,5.08,1
07/01/18 11:45,3.82,0,6.59,1
07/01/18 12:00,3.64,0,5.69,1
07/01/18 12:15,3.53,0,13.21,1
07/01/18 12:30,4.1,0,22.46,1
07/01/18 12:45,3.74,0,17.96,1
07/01/18 13:00,3.64,0,16.81,1
